,SSM_IS,SSM_LSM,SIG40,SLOPE,CURVE,sigf,sigm,siga,incf,incm,inca
2010-04-26 03:12:09.375001,0.228,0.2964500045776367,-7.989737,-0.07970668,-0.0008029383,-7.8437905,-7.96282,-8.162602,61.785366,50.36877,61.710506
2010-04-28 14:50:58.125007,0.211,0.27798999786376954,-8.587462,-0.079671375,-0.000895669,-8.605948,-8.621888,-8.53455,59.786728,48.42467,59.81403
2010-04-29 02:10:00.000017,0.199,0.27364999771118165,-8.732506,-0.079643555,-0.00095249846,-8.646997,-8.924281,-8.626241,49.70123,38.822388,49.659973
2010-04-30 15:49:35.624012,0.178,0.2686800003051758,-8.22261,-0.07959201,-0.00101585,-8.216062,-8.2016,-8.25017,48.008297,37.315716,48.10164
2010-05-01 03:08:37.499023,0.163,0.2646500015258789,-8.158776,-0.07961514,-0.0010734603,-8.176678,-8.050484,-8.249167,58.528923,47.11433,58.44667
2010-05-02 15:08:13.124020,0.152,0.2787299919128418,-8.048339,-0.079617426,-0.0011316906,-8.2079735,-7.9805675,-7.9564767,37.375782,28.022871,37.369843
2010-05-03 14:47:26.249994,0.257,0.3382600021362305,-7.392025,-0.079662874,-0.0011867185,-7.301584,-7.412241,-7.4622493,62.905586,51.544415,62.919395
2010-05-04 02:06:29.999990,0.252,0.320369987487793,-8.04363,-0.079703845,-0.0012437928,-8.000203,-8.105901,-8.024785,53.74826,42.640663,53.708202
2010-05-05 15:46:05.624991,0.221,0.29555999755859375,-8.0115595,-0.07973382,-0.0013033928,-7.9715548,-7.943211,-8.119912,43.186172,32.988068,43.266403
2010-05-06 03:05:05.624976,0.214,0.28930999755859377,-8.154195,-0.07975649,-0.0013666514,-8.299786,-8.146775,-8.016025,54.86376,43.569324,54.782932
2010-05-07 15:04:41.250013,0.197,0.2810700035095215,-8.242125,-0.0798,-0.001425872,-8.36146,-8.284301,-8.080614,43.001343,32.792183,42.999916
2010-05-09 02:03:00.000002,0.171,0.272549991607666,-8.684936,-0.079937994,-0.0015345044,-8.794597,-8.566893,-8.693317,57.34755,46.151783,57.29704
2010-05-09 16:03:13.124990,0.164,0.2733099937438965,-8.862649,-0.079937994,-0.0015345044,-8.929015,-8.776798,-8.882133,62.19924,51.130775,62.33772
2010-05-10 15:42:35.625003,0.155,0.2721999931335449,-8.886563,-0.0800007,-0.001589736,-8.9286585,-8.831864,-8.899166,37.764824,28.331392,37.826862
2010-05-11 03:01:33.750004,0.152,0.27048999786376954,-8.201116,-0.080063574,-0.0016475968,-8.152331,-8.363906,-8.087111,50.765022,39.70585,50.685005
2010-05-12 15:01:11.249020,0.155,0.2688800048828125,-8.343511,-0.08019477,-0.0017011003,-8.3611765,-8.251067,-8.418289,48.03176,37.244118,48.048912
2010-05-14 01:59:29.999009,0.152,0.3209600067138672,-8.452483,-0.08060289,-0.0017884359,-8.623417,-8.311675,-8.422357,60.54565,49.3417,60.478806
2010-05-14 15:59:43.125002,0.15,0.28538999557495115,-8.243219,-0.08060289,-0.0017884359,-8.31405,-8.262844,-8.152765,59.223362,48.106606,59.352165
2010-05-16 02:58:01.874991,0.166,0.3088699913024902,-7.9562435,-0.080978066,-0.0018720904,-7.9636345,-8.120667,-7.784429,46.086483,35.456898,46.002037
2010-05-17 14:57:39.375013,0.252,0.30332000732421877,-7.788349,-0.08114923,-0.0019166195,-7.762147,-7.8629994,-7.7399006,52.43689,41.312134,52.46174
2010-05-18 02:16:37.500014,0.262,0.2894899940490723,-7.8101406,-0.081439294,-0.0019500758,-7.8474226,-7.7444816,-7.838518,40.096252,30.263666,40.076687
2010-05-19 01:56:00.000000,0.254,0.281870002746582,-8.572269,-0.081718184,-0.001976835,-8.454317,-8.616386,-8.646105,63.33131,52.18319,63.25174
2010-05-19 15:56:13.124009,0.249,0.27979000091552736,-8.514137,-0.081718184,-0.001976835,-8.508698,-8.509747,-8.523969,55.893932,44.805866,56.011417
2010-05-21 02:54:30.000019,0.226,0.2714900016784668,-8.397141,-0.08216847,-0.0020278771,-8.398189,-8.375787,-8.417449,40.77472,30.847506,40.69527
2010-05-22 14:54:05.625016,0.261,0.2792799949645996,-8.210851,-0.082386754,-0.00205763,-8.242304,-8.145919,-8.24433,56.33471,45.028774,56.36123
