,SSM_IS,TAU,SIG40
2007-08-23 11:34:39.374009,0.225,0.40409166,-11.801025
2007-08-23 22:53:28.124005,0.2267,0.40409166,-11.753907
2007-08-25 12:33:16.874986,0.2243,0.40527862,-11.939622
2007-08-25 23:52:07.499002,0.2252,0.40527862,-11.745282
2007-08-28 11:31:11.250012,0.2052,0.40717503,-11.717457
2007-08-28 22:50:03.749012,0.2069,0.40717503,-11.772746
2007-08-30 12:29:50.625008,0.1824,0.40838474,-11.846427
2007-08-30 23:48:41.249990,0.179,0.40838474,-11.911267
2007-09-01 11:48:28.125016,0.1686,0.4097721,-12.755801
2007-09-02 11:27:43.125009,0.1636,0.41050512,-12.170201
2007-09-02 22:46:37.498995,0.166,0.41050512,-12.128421
2007-09-04 12:26:24.374991,0.1503,0.41183534,-12.741798
2007-09-04 23:45:13.124987,0.1506,0.41183534,-12.340774
2007-09-06 11:45:01.874998,0.1371,0.41307077,-12.62524
2007-09-07 22:43:11.250023,0.1325,0.41377932,-12.156062
2007-09-08 12:43:33.749009,0.1287,0.41446745,-12.372772
2007-09-09 12:22:56.249988,0.1192,0.41506344,-12.805257
2007-09-09 23:41:45.000025,0.1213,0.41506344,-12.597461
2007-09-11 11:41:33.749995,0.1276,0.41640013,-11.210902
2007-09-12 22:39:45.000005,0.1305,0.41705808,-11.858223
2007-09-13 12:40:07.499997,0.1254,0.41781452,-11.994171
2007-09-14 23:38:16.874016,0.1243,0.41857317,-12.204421
2007-09-16 11:38:05.623987,0.1173,0.4199387,-12.266876
2007-09-16 22:56:54.374023,0.1199,0.4199387,-11.947929
2007-09-19 23:34:48.750019,0.1143,0.42204428,-11.603908
2007-09-21 11:34:37.499990,0.1092,0.42336047,-12.588702
2007-09-21 22:53:28.124005,0.1101,0.42336047,-12.184474
2007-09-23 12:33:15.000001,0.1044,0.42452812,-12.280343
2007-09-23 23:52:07.499002,0.1041,0.42452812,-12.088748
2007-09-26 11:31:09.374987,0.0886,0.4263726,-11.960185
2007-09-26 22:50:00.000008,0.0886,0.4263726,-12.439475
2007-09-28 12:29:46.874999,0.0772,0.42733932,-12.480321
2007-09-28 23:48:37.499980,0.0778,0.42733932,-12.32845
2007-09-30 11:48:26.249991,0.0674,0.4282813,-12.572516
2007-10-01 11:27:41.250025,0.0626,0.42873427,-12.244621
2007-10-01 22:46:33.749991,0.0638,0.42873427,-12.124551
2007-10-03 12:26:20.625021,0.0533,0.42929104,-12.599869
2007-10-03 23:45:09.375017,0.0553,0.42929104,-12.37802
2007-10-05 11:44:58.124988,0.0463,0.42977557,-12.707531
2007-10-06 22:43:07.500013,0.0437,0.4300492,-12.324458
2007-10-07 12:43:30.000005,0.0409,0.43020487,-12.561577
2007-10-08 12:22:54.375003,0.0395,0.4302616,-13.019155
2007-10-08 23:41:41.249009,0.0418,0.4302616,-12.597271
2007-10-10 11:41:29.999020,0.0357,0.4302077,-12.465718
2007-10-12 12:40:03.749987,0.0268,0.4301285,-12.541702
2007-10-13 23:38:13.125012,0.0286,0.43014383,-12.770976
2007-10-15 11:38:01.875023,0.0203,0.42988515,-12.727261
2007-10-15 22:56:50.625019,0.024,0.42988515,-12.693489
2007-10-16 22:36:13.123987,0.0186,0.42980993,-12.476651
2007-10-17 12:36:35.625025,0.0153,0.42976183,-13.0568
2007-10-17 23:55:30.000016,0.0185,0.42976183,-12.794853
2007-10-18 23:34:45.000009,0.0168,0.4297311,-13.066704
2007-10-20 11:34:31.874995,0.0096,0.4294313,-12.756844
2007-10-20 22:53:22.499976,0.0115,0.4294313,-12.938258
2007-10-22 12:33:09.375007,0.0048,0.428948,-13.013565
2007-10-22 23:52:01.875013,0.0082,0.428948,-13.183225
2007-10-25 11:31:03.748987,0.0052,0.4286002,-12.558934
2007-10-25 22:49:54.375014,0.2933,0.4286002,-11.628917
2007-10-27 12:29:41.248998,0.0802,0.42824653,-13.29728
2007-10-27 23:48:31.874020,0.0729,0.42824653,-13.480153
2007-10-29 11:48:20.623990,0.0845,0.42789564,-13.335007
2007-10-30 11:27:33.750005,0.0602,0.427796,-13.401132
2007-10-30 22:46:28.123990,0.0599,0.427796,-13.242111
2007-11-01 12:26:14.999986,0.0417,0.42747733,-11.865394
2007-11-01 23:45:03.750023,0.0413,0.42747733,-13.108165
2007-11-03 11:44:50.625008,0.0884,0.42719352,-9.842551
2007-11-04 22:43:00.000000,0.2158,0.42703956,-11.703026
2007-11-05 12:43:22.499020,0.1667,0.42685202,-12.726104
2007-11-06 12:22:46.874983,0.1314,0.42658678,-12.859295
2007-11-06 23:41:33.749995,0.1227,0.42658678,-12.830298
2007-11-08 11:41:22.500006,0.0887,0.42586154,-13.326003
2007-11-09 22:39:31.874991,0.0732,0.4255202,-13.020387
2007-11-10 12:39:56.249002,0.061,0.42515764,-13.299306
2007-11-11 23:38:03.749002,0.0541,0.42472094,-13.679634
