,SSM_IS,TAU,SIG40
2009-11-11 02:07:37.500006,0.416,0.40121803,-8.445633
2009-11-11 16:07:31.875025,0.403,0.40121803,-8.912185
2009-11-13 03:06:09.375023,0.387,0.40049577,-9.181267
2009-11-14 15:05:28.124995,0.378,0.40006754,-8.800769
2009-11-15 02:24:46.874990,0.367,0.39959377,-9.023549
2009-11-16 16:04:05.625007,0.364,0.39907384,-8.814566
2009-11-17 03:23:28.124005,0.354,0.398496,-8.779114
2009-11-18 03:02:43.125005,0.363,0.3979743,-8.888986
2009-11-19 15:02:01.875017,0.367,0.39746296,-9.288128
2009-11-20 02:21:22.499997,0.361,0.39689276,-9.411734
2009-11-21 16:00:41.250014,0.36,0.3962696,-9.12688
2009-11-22 03:20:00.000008,0.354,0.39551657,-8.929129
2009-11-24 14:58:33.749009,0.369,0.3938882,-9.137276
2009-11-25 02:17:56.250019,0.366,0.39321905,-9.020696
2009-11-26 15:57:14.998990,0.355,0.3925315,-9.519006
2009-11-27 03:16:33.749991,0.352,0.3917624,-9.23537
2009-11-28 15:15:52.500003,0.345,0.3909621,-9.312084
2009-11-30 02:14:30.000001,0.332,0.38946328,-8.797719
2009-11-30 16:14:24.374980,0.419,0.38946328,-8.607718
2009-12-01 15:53:48.749012,0.393,0.38867766,-8.933931
2009-12-02 03:13:05.624988,0.387,0.3878991,-8.959778
2009-12-03 15:12:24.375000,0.405,0.38706833,-9.022479
2009-12-05 02:11:03.749983,0.391,0.38565573,-9.228041
2009-12-07 03:09:37.499020,0.39,0.38433522,-9.264373
2009-12-08 15:08:56.249998,0.387,0.38389286,-9.084519
2009-12-09 02:28:14.998987,0.418,0.38348758,-7.985453
2009-12-17 03:02:43.125005,0.429,0.38120213,-9.542498
2009-12-18 15:02:01.875017,0.427,0.38099557,-8.772367
2009-12-19 02:21:22.499997,0.427,0.3806472,-8.423547
2009-12-27 15:15:52.500003,0.431,0.37857476,-9.4108715
2010-01-18 16:00:39.374023,0.404,0.37259257,-8.689679
2010-01-19 03:20:00.000008,0.413,0.37245017,-9.199172
2010-03-07 02:07:24.374991,0.385,0.37894195,-9.264992
2010-03-07 16:07:18.750010,0.383,0.37894195,-8.93211
2010-03-09 03:05:56.250008,0.37,0.37975183,-9.062649
2010-03-10 15:05:15.000021,0.363,0.38022548,-9.108853
2010-03-11 02:24:31.874991,0.36,0.38063687,-9.2392
2010-03-12 16:03:50.625008,0.381,0.38111445,-8.924132
2010-03-13 03:23:13.125012,0.43,0.38170144,-8.611575
2010-03-16 02:21:03.749988,0.431,0.38341463,-8.779614
2010-03-17 16:00:22.500005,0.412,0.383833,-9.135057
2010-03-18 03:19:43.125025,0.408,0.3842049,-9.026284
2010-03-19 15:19:00.000012,0.392,0.38465583,-8.798827
2010-03-20 14:58:13.125021,0.38,0.38516244,-8.755138
2010-03-21 02:17:35.624020,0.367,0.3856871,-8.6408415
2010-03-22 15:56:54.375002,0.43,0.38626447,-8.987283
2010-03-23 03:16:11.250012,0.428,0.38684052,-9.181974
2010-03-24 15:15:30.000025,0.398,0.38736606,-8.716159
2010-03-26 02:14:07.500023,0.42,0.3886749,-8.360396
2010-03-26 16:14:01.875001,0.418,0.3886749,-9.019084
2010-03-27 15:53:24.374009,0.405,0.38931096,-8.725043
2010-03-28 03:12:41.250025,0.391,0.38983384,-8.765445
2010-03-29 15:12:00.000000,0.431,0.39020246,-9.013423
2010-03-31 02:10:39.374980,0.401,0.39122313,-8.837967
2010-03-31 16:10:33.749999,0.398,0.39122313,-8.637486
2010-04-02 03:09:11.249997,0.355,0.39229646,-8.746375
2010-04-03 15:08:30.000009,0.333,0.3927929,-8.982976
2010-04-04 02:27:46.875019,0.324,0.39339614,-9.049264
2010-04-05 02:07:09.373987,0.301,0.39405334,-8.603868
2010-04-05 16:07:05.623990,0.301,0.39405334,-8.62629
2010-04-07 03:05:41.250009,0.257,0.3957511,-8.771258
2010-04-08 15:04:59.999016,0.353,0.39661822,-8.167609
2010-04-09 02:24:18.749976,0.334,0.39747757,-8.926521
2010-04-10 16:03:35.625008,0.296,0.39833477,-8.719275
2010-04-11 03:22:58.125013,0.274,0.3992015,-8.961111
2010-04-12 03:02:11.249016,0.249,0.40013292,-9.030533
2010-04-13 15:01:28.125009,0.23,0.40113884,-8.677266
2010-04-14 02:20:48.749023,0.216,0.4022449,-9.062661
2010-04-15 16:00:05.625021,0.201,0.40343595,-8.814849
2010-04-16 03:19:26.250000,0.189,0.40467003,-8.822601
2010-04-17 15:18:43.124988,0.175,0.40590915,-9.283039
2010-04-18 14:57:58.124016,0.164,0.40705654,-9.362743
2010-04-19 02:17:18.750001,0.157,0.40824205,-9.297722
2010-04-20 15:56:37.499012,0.151,0.40943426,-8.742148
2010-04-21 03:15:54.374988,0.155,0.41068968,-8.969781
2010-04-22 15:15:13.125000,0.155,0.41183352,-9.212907
2010-04-24 02:13:48.750014,0.157,0.41423142,-9.01406
2010-04-24 16:13:45.000017,0.158,0.41423142,-9.370198
2010-04-25 15:53:07.499991,0.305,0.4154606,-8.69455
2010-04-26 03:12:24.375000,0.275,0.41668725,-8.976578
2010-04-27 15:11:41.249988,0.353,0.41773847,-9.049716
2010-04-29 02:10:20.624005,0.312,0.41995588,-9.263324
2010-04-29 16:10:14.999990,0.307,0.41995588,-8.892528
